exposure_id,borrower_id,connected_group_id,reporting_date,segment,product_type,borrower_type,is_individual,is_sme,managed_as_retail,retail_transactor,annual_revenue,group_total_assets,exposure_class_raw,sector,geography,currency,external_rating,internal_grade,pd_1y,origination_date,contractual_maturity_years,outstanding_balance,credit_limit,undrawn_amount,revolving_flag,commitment_type,unconditionally_cancellable_flag,accrued_interest,collateral_type,collateral_value,property_value_at_origination,property_value_current,property_cashflow_dependent,regulatory_real_estate_eligible,senior_lien_amount,guarantee_value,guarantor_type,guarantor_rating,dpd,default_flag
EXP-0027601,BOR-0027601,GRP-0027601,2026-06-30,bank,bank_loan,bank,False,False,False,False,0.0,0.0,bank,Financial Services,West,INR,CCC,CCC,0.1802606685324482,2022-09-19,4.113319865450576,254686484.68148136,497589892.61559445,242903407.9341131,True,other_commitment,False,1768795.7632624505,none,0.0,0.0,0.0,False,False,0.0,118079879.93920235,eligible_bank,AA,0,0
EXP-0027627,BOR-0027609,GRP-0027609,2026-06-30,bank,bank_loan,bank,False,False,False,False,0.0,0.0,bank,Financial Services,South,INR,AA,AA,0.0007462268813945042,2022-04-22,3.8569749974682805,240423517.01605552,409236637.1658377,168813120.14978218,True,other_commitment,False,2359784.2266063136,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,15,0
EXP-0027756,BOR-0027652,GRP-0027652,2026-06-30,bank,bank_loan,bank,False,False,False,False,0.0,0.0,bank,Financial Services,North,INR,BBB,BBB,0.004407917405710022,2021-11-23,2.66621461636796,501312678.57103825,604771089.5905356,103458411.0194974,True,other_commitment,False,712420.5745306824,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,15,0
EXP-0027782,BOR-0027661,GRP-0027661,2026-06-30,bank,bank_loan,bank,False,False,False,False,0.0,0.0,bank,Financial Services,East,INR,A,A,0.001716789689487973,2017-02-17,1.9535805077528319,524590063.1338683,594577788.8476977,69987725.71382946,True,other_commitment,False,3305339.276017307,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,60,0
EXP-0027857,BOR-0027686,GRP-0027686,2026-06-30,bank,bank_loan,bank,False,False,False,False,0.0,0.0,bank,Financial Services,East,INR,A,A,0.0016737335142468978,2018-12-09,1.7740332273841612,324632544.0059493,618421560.4506413,293789016.44469196,True,other_commitment,False,1258680.7737996948,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,0,0
EXP-0027896,BOR-0027699,GRP-0027699,2026-06-30,bank,bank_loan,bank,False,False,False,False,0.0,0.0,bank,Financial Services,North,INR,A,A,0.001166836279132219,2020-12-28,1.143610691463866,1494666557.8763325,3133570939.3182454,1638904381.441913,True,other_commitment,False,1031420.0806937175,cash,1134171536.294357,0.0,0.0,False,False,0.0,0.0,none,UNRATED,5,0
EXP-0027910,BOR-0027704,GRP-0027704,2026-06-30,bank,bank_loan,bank,False,False,False,False,0.0,0.0,bank,Financial Services,West,INR,A,A,0.0016920278270057723,2016-09-20,3.8644701622995905,60184741.6994163,89463506.01202174,29278764.312605433,True,other_commitment,False,653701.1081476918,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,60,0
EXP-0027946,BOR-0027716,GRP-0027716,2026-06-30,bank,bank_loan,bank,False,False,False,False,0.0,0.0,bank,Financial Services,West,INR,AA,AA,0.00048748840113150405,2022-07-21,5.882332983791656,740690007.6473291,832075379.6604563,91385372.01312721,True,other_commitment,False,6869019.229367064,none,0.0,0.0,0.0,False,False,0.0,266135473.5223205,eligible_bank,AA,0,0
EXP-0027982,BOR-0027728,GRP-0027728,2026-06-30,bank,bank_loan,bank,False,False,False,False,0.0,0.0,bank,Financial Services,West,INR,BBB,BBB,0.0037240821401736852,2019-01-08,3.1978243732987317,572596481.8193523,944355841.9833022,371759360.16394997,True,other_commitment,False,832377.3542724246,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,0,0
EXP-0028034,BOR-0027745,GRP-0027745,2026-06-30,bank,bank_loan,bank,False,False,False,False,0.0,0.0,bank,Financial Services,West,INR,AAA,AAA,0.0003046382157098574,2019-02-07,3.359461242484549,391085390.9390316,448528645.62284005,57443254.683808446,True,other_commitment,False,1406155.9765257388,none,0.0,0.0,0.0,False,False,0.0,0.0,none,UNRATED,0,0
